timestamp,accelerometer,accel_x,accel_y,accel_z,gyroscope,gyro_x,gyro_y,gyro_z,magnetometer,magnet_x,magnet_y,magnet_z
790913.3201,3,-0.356,-0.176,10.141,4,0,0,0,5,-6.396,1.949,-8.043
790913.3777,3,-0.35,-0.177,10.142,4,0,0,0,5,-5.884,2.223,-8.759
790913.4353,3,-0.352,-0.179,10.14,4,0,0,0,,,,
790913.4929,3,-0.354,-0.179,10.141,4,0,0,0,5,-5.177,1.86,-8.27
790913.5506,3,-0.354,-0.175,10.143,4,0,0,0,5,-6.087,1.886,-8.768
790913.6082,3,-0.352,-0.176,10.14,4,0,0,0,5,-5.85,0.836,-8.057
790913.6658,3,-0.354,-0.178,10.14,4,0,0,0,5,-4.784,3.047,-9.032
790913.7234,3,-0.353,-0.174,10.136,4,0,0,0,5,-6.395,0.291,-8.588
790913.781,3,-0.353,-0.174,10.139,4,0,0,0,5,-6.169,1.357,-9.65
790913.8387,3,-0.351,-0.177,10.137,4,0,0,0,,,,
790913.8963,3,-0.352,-0.177,10.142,4,0,0,0,5,-6.006,0.967,-10.31
790913.9539,3,-0.354,-0.176,10.142,4,0,0,0,5,-6.393,1.154,-7.545
790914.0115,3,-0.353,-0.175,10.139,4,0,0,0,5,-6.737,0.139,-8.409
790914.0692,3,-0.357,-0.178,10.133,4,0,0,0,5,-7.838,1.025,-9.747
790914.1268,3,-0.349,-0.178,10.139,4,0,0,0,5,-5.273,1.3,-8.414
790914.1844,3,-0.353,-0.179,10.135,4,0,0,0,5,-6.638,1.816,-7.774
790914.242,3,-0.345,-0.175,10.139,4,0,0,0,,,,
790914.2997,3,-0.355,-0.178,10.142,4,0,0,0,5,-5.827,0.806,-8.296
790914.3573,3,-0.352,-0.179,10.14,4,0,0,0,5,-5.307,0.853,-8.009
790914.4149,3,-0.353,-0.177,10.138,4,0,0,0,5,-5.78,1.286,-8.826
790914.4725,3,-0.354,-0.175,10.14,4,0,0,0,5,-5.96,0.475,-8.043
790914.5302,3,-0.351,-0.175,10.14,4,0,0,0,5,-6.078,1.634,-7.813
790914.5878,3,-0.352,-0.176,10.136,4,0,0,0,5,-5.199,1.224,-8.083
790914.6454,3,-0.352,-0.177,10.138,4,0,0,0,,,,
790914.703,3,-0.356,-0.179,10.142,4,0,0,0,5,-6.435,1.096,-10.052
790914.7607,3,-0.356,-0.178,10.138,4,0,0,0,5,-6.366,1.581,-8.553
790914.8183,3,-0.353,-0.178,10.135,4,0,0,0,5,-6.801,1.871,-9.241
790914.8759,3,-0.356,-0.177,10.138,4,0,0,0,5,-4.753,0.87,-8.302
790914.9335,3,-0.349,-0.176,10.14,4,0,0,0,5,-5.072,1.111,-7.825
790914.9912,3,-0.349,-0.176,10.144,4,-0.001,0,0,5,-5.975,0.668,-8.296
790915.0488,3,-0.35,-0.177,10.139,4,0,0,0,,,,
790915.1064,3,-0.358,-0.179,10.14,4,0,0,0,5,-6.967,0.9,-8.163
790915.164,3,-0.352,-0.178,10.144,4,0,0,0,5,-5.78,1.067,-9.425
790915.2216,3,-0.354,-0.179,10.142,4,0,0,0,,,,
790915.2793,3,-0.354,-0.171,10.138,4,0,0,0,5,-6.567,1.161,-7.234
790915.3369,3,-0.353,-0.176,10.143,4,0,0,0,5,-6.45,0.441,-8.897
790915.3945,3,-0.353,-0.175,10.143,4,0,0,0,5,-5.684,1.208,-8.972
790915.4521,3,-0.353,-0.176,10.141,4,0,0,0,,,,
790915.5097,3,-0.357,-0.179,10.141,4,0,0,0,5,-6.221,0.441,-9.625
790915.5674,3,-0.355,-0.176,10.143,4,0,0,0,5,-5.533,0.745,-7.858
790915.625,3,-0.353,-0.176,10.141,4,0,0,0,,,,
790915.6826,3,-0.355,-0.178,10.138,4,0,0,0,5,-5.453,-0.136,-6.847
790915.7402,3,-0.356,-0.179,10.143,4,0,0,0,5,-5.914,1.479,-6.76
790915.7979,3,-0.353,-0.177,10.141,4,0,0,0,5,-4.868,0.255,-6.747
790915.8555,3,-0.353,-0.175,10.137,4,0,0,0,,,,
790915.9131,3,-0.351,-0.182,10.143,4,0,0,0,5,-5.354,1.791,-7.588
790915.9707,3,-0.351,-0.175,10.142,4,0,0,0,5,-7.027,1.451,-7.603
790916.0284,3,-0.355,-0.175,10.143,4,0,0,0,,,,
790916.086,3,-0.353,-0.177,10.139,4,0,0,0,5,-6.815,0.992,-8.679
790916.1436,3,-0.351,-0.173,10.138,4,0,0,0,5,-5.682,0.153,-6.621
790916.2012,3,-0.351,-0.177,10.14,4,0,0,0,5,-5.168,1.067,-7.547
790916.2589,3,-0.353,-0.175,10.138,4,0,0,0,,,,
790916.3165,3,-0.353,-0.175,10.142,4,0,0,0,5,-6.122,0.583,-8.047
790916.3741,3,-0.355,-0.179,10.143,4,0,0,0,5,-6.168,1.372,-8.658
790916.4317,3,-0.356,-0.177,10.142,4,0,0,0,,,,
790916.4894,3,-0.351,-0.176,10.133,4,0,0,0,5,-6.355,1.762,-9.712
790916.547,3,-0.357,-0.172,10.138,4,0,0.001,0,5,-5.463,1.196,-7.953
790916.6046,3,-0.35,-0.175,10.144,4,0,0.001,0,5,-5.93,1.213,-8.139
790916.6622,3,-0.353,-0.174,10.142,4,0,0,0,5,-6.349,0.97,-9.148
790916.7199,3,-0.354,-0.179,10.137,4,0,0,0,5,-6.105,1.059,-8.099
790916.7775,3,-0.353,-0.177,10.137,4,0,0,0,5,-6.708,0.873,-7.75
790916.8351,3,-0.355,-0.18,10.14,4,0,0,0,,,,
790916.8927,3,-0.357,-0.176,10.144,4,0,0,0,5,-6.816,2.147,-9.085
790916.9503,3,-0.351,-0.177,10.138,4,0,0,0,5,-6.104,1.106,-8.87
790917.008,3,-0.355,-0.174,10.141,4,0,0,0,5,-6.168,1.115,-8.446
790917.0656,3,-0.351,-0.174,10.141,4,0,0,0,5,-7.404,0.452,-9.302
